user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is the English name of the program?,['Bachelor of Engineering Program in Robotics and AI Engineering (International Program).'],Bachelor of Engineering in Robotics and Artificial Intelligence,Bachelor of Engineering Program in Robotics and AI Engineering (International Program).,1.0,0.2205888429631626,0.9999999999,1.0
What is the abbreviation for the degree in English?,['B.Eng. (Robotics and AI Engineering).'],B.Eng. (Robotics and AI),B.Eng. (Robotics and AI Engineering).,1.0,0.4320569195766008,0.9999999999,1.0
How many credits are required for graduation?,['At least 131 credits.'],Approximately 120-140 credits,At least 131 credits.,0.0,0.0,0.9999999999,1.0
What is the medium of instruction?,['English.'],English,English.,1.0,0.21474497502840778,0.9999999999,1.0
Which institute gives the degree to graduates?,"[""King Mongkut's Institute of Technology Ladkrabang.""]",The Institute of Engineering or a university offering the program,King Mongkut's Institute of Technology Ladkrabang.,0.0,0.0,0.9999999999,1.0
When did the program start its first semester?,['Semester 1 of academic year 2018 (August 2018).'],Around 2019 or 2020,Semester 1 of academic year 2018.,0.0,0.0,0.9999999999,1.0
Is the program an academic or advanced academic bachelor's degree?,"[""Academic bachelor's degree program.""]",Advanced academic bachelor's degree,Academic bachelor's degree program.,0.0,0.8449191362974786,0.9999999999,1.0
What is a possible career path regarding AI?,['Software Architect for AI or Expert Systems Analyst.'],AI Engineer or Machine Learning Engineer,Software Architect for AI.,0.0,0.0,0.9999999999,1.0
What is a possible career path regarding mechanical systems?,['Software Engineer for Mechatronics and Machines or Machine Designer.'],Robotics Engineer or Mechanical Systems Engineer,Software Engineer for Mechatronics and Machines.,0.5,0.0,0.9999999999,1.0
What is a possible career path regarding management?,['Technology Manager for Robotics and AI.'],Project Manager or Technology Manager,Technology Manager for Robotics and AI.,0.5,0.0,0.9999999999,1.0
Who is an instructor responsible for the program with a focus on Electrical Engineering?,['Dr. Poom Konghuayrob or Dr. Kanoknuch Songsuwankit.'],An Electrical Engineering faculty member or program coordinator,Dr. Poom Konghuayrob.,0.0,0.0,0.9999999999,1.0
Where is the location of study?,"[""King Mongkut's Institute of Technology Ladkrabang.""]",Thailand,King Mongkut's Institute of Technology Ladkrabang.,1.0,0.16611860084716124,0.9999999999,1.0
What national plan does the program align with?,['National Economic and Social Development Plan (2017-2021).'],Thailand 4.0 policy,National Economic and Social Development Plan (2017-2021).,0.0,0.31820837777514754,0.9999999999,1.0
What is the mission of the Institute mentioned in the document?,['Master of Innovation and the Corner Stone of Fundamental.'],To produce skilled graduates with innovation and research capabilities,Master of Innovation and the Corner Stone of Fundamental.,0.3333333333333333,0.4859590713403961,0.9999999999,1.0
What are the 21st-century skills the curriculum aims to cultivate?,"['Creativity, critical-thinking, communication, and collaboration.']","Critical thinking, creativity, communication, and collaboration","Creativity, critical-thinking, communication, and collaboration.",1.0,0.5449284859391061,0.9999999999,1.0
What is the 'next S-curve' industry mentioned in the importance of the program?,"['Digital industry including IoT, Cloud, Robotics, and AI.']",Robotics and Artificial Intelligence industry,"Digital industry (IoT, Cloud, Robotics, AI).",0.0,0.3514470500144716,0.9999999999,1.0
What does 'PEO' stand for in the context of the program?,['Program Educational Objectives.'],Program Educational Objectives,Program Educational Objectives.,1.0,0.4114467569414555,0.9999999999,1.0
What is Program Educational Objective (a)?,['Engineering Quality: apply engineering practice to solve significant problems.'],To produce graduates with strong technical knowledge and skills,Apply engineering practice to solve significant problems.,0.0,0.704109656815075,0.9999999999,1.0
What is Program Educational Objective (e)?,['Lifelong Learning: learn new technologies to respond to a changing environment.'],To promote lifelong learning and professional development,Learn new technologies to respond to a changing environment.,0.5,0.4351249028215732,0.9999999999,1.0
How many weeks are in a standard academic semester?,['Not less than 15 weeks (excluding examination weeks).'],15-16 weeks,Not less than 15 weeks.,0.0,0.2802441056917506,0.9999999999,1.0
When is the summer course typically held?,['June - July.'],During April to June,June - July.,0.3333333333333333,0.0,0.9999999999,1.0
What is the minimum high-school requirement for applicants?,['Complete high-school education or equivalent.'],High school diploma with a science-math background,Complete high-school education or equivalent.,0.5,0.4827975748793387,0.9999999999,1.0
