Model,user_input,retrieved_contexts,response,reference,answer_similarity,answer_correctness,,,,,
ChatGPT,What is the English name of the program?,['Bachelor of Engineering Program in Robotics and AI Engineering (International Program).'],Bachelor of Engineering in Robotics and Artificial Intelligence,Bachelor of Engineering Program in Robotics and AI Engineering (International Program).,0.885982589,0.221495647,,,,Answer Similarity,Answer Correctness
ChatGPT,What is the abbreviation for the degree in English?,['B.Eng. (Robotics and AI Engineering).'],B.Eng. (Robotics and AI),B.Eng. (Robotics and AI Engineering).,0.971803213,0.617950803,,,ChatGPT,0.593180428,0.386711774
ChatGPT,How many credits are required for graduation?,['At least 131 credits.'],Approximately 120-140 credits,At least 131 credits.,0.842703674,0.210675919,,,RAG,0.588775688,0.715715661
ChatGPT,What is the medium of instruction?,['English.'],English,English.,0.930514154,0.982628539,,,,,
ChatGPT,Which institute gives the degree to graduates?,"[""King Mongkut's Institute of Technology Ladkrabang.""]",The Institute of Engineering or a university offering the program,King Mongkut's Institute of Technology Ladkrabang.,0.379376337,0.094844084,,,,,
ChatGPT,When did the program start its first semester?,['Semester 1 of academic year 2018 (August 2018).'],Around 2019 or 2020,Semester 1 of academic year 2018.,0.361467031,0.090366758,,,,,
ChatGPT,Is the program an academic or advanced academic bachelor's degree?,"[""Academic bachelor's degree program.""]",Advanced academic bachelor's degree,Academic bachelor's degree program.,0.718154501,0.179538625,,,,,
ChatGPT,What is a possible career path regarding AI?,['Software Architect for AI or Expert Systems Analyst.'],AI Engineer or Machine Learning Engineer,Software Architect for AI.,0.623973156,0.155993289,,,,,
ChatGPT,What is a possible career path regarding mechanical systems?,['Software Engineer for Mechatronics and Machines or Machine Designer.'],Robotics Engineer or Mechanical Systems Engineer,Software Engineer for Mechatronics and Machines.,0.652479488,0.163119872,,,,,
ChatGPT,What is a possible career path regarding management?,['Technology Manager for Robotics and AI.'],Project Manager or Technology Manager,Technology Manager for Robotics and AI.,0.609688768,0.527422192,,,,,
ChatGPT,Who is an instructor responsible for the program with a focus on Electrical Engineering?,['Dr. Poom Konghuayrob or Dr. Kanoknuch Songsuwankit.'],An Electrical Engineering faculty member or program coordinator,Dr. Poom Konghuayrob.,0.117488348,0.629372087,,,,,
ChatGPT,Where is the location of study?,"[""King Mongkut's Institute of Technology Ladkrabang.""]",Thailand,King Mongkut's Institute of Technology Ladkrabang.,0.315036159,0.07875904,,,,,
ChatGPT,What national plan does the program align with?,['National Economic and Social Development Plan (2017-2021).'],Thailand 4.0 policy,National Economic and Social Development Plan (2017-2021).,0.240856047,0.060214012,,,,,
