user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is the English name of the program?,['Bachelor of Engineering Program in Robotics and AI Engineering (International Program).'],"Sorry, My knowledge base does not contain the answer to this question.",Bachelor of Engineering Program in Robotics and AI Engineering (International Program).,0,0,1,1
What is the abbreviation for the degree in English?,['B.Eng. (Robotics and AI Engineering).'],B.Eng. (Robotics and AI Engineering),B.Eng. (Robotics and AI Engineering).,1,0.442430374,1,1
How many credits are required for graduation?,['At least 131 credits.'],At least 131 credits are required for graduation.,At least 131 credits.,1,1,1,1
What is the medium of instruction?,['English.'],The medium of instruction is English.,English.,1,1,1,1
Which institute gives the degree to graduates?,"[""King Mongkut's Institute of Technology Ladkrabang.""]",The degree is given to graduates by King Mongkut’s Institute of Technology Ladkrabang.,King Mongkut's Institute of Technology Ladkrabang.,0,0.652294841,1,1
When did the program start its first semester?,['Semester 1 of academic year 2018 (August 2018).'],"The program started its first semester in the academic year 2018, specifically in August 2018.",Semester 1 of academic year 2018.,1,1,1,1
Is the program an academic or advanced academic bachelor's degree?,"[""Academic bachelor's degree program.""]",The program is an academic bachelor's degree program.,Academic bachelor's degree program.,1,0.449429626,1,1
What is a possible career path regarding AI?,['Software Architect for AI or Expert Systems Analyst.'],"Possible career paths regarding AI include:

- Roboticist or Robotic Engineer
- Startup Entrepreneur in High Tech
- Software Engineer for Mechatronics and Machines
- System Engineer
- Machine Vision Engineer
- Robotic Security Analyst
- Expert Systems Analyst
- Machine Designer
- Software Architect for AI
- Technology Manager for Robotics and AI
- Solution Engineer",Software Architect for AI.,0.181818182,0.972690556,1,1
What is a possible career path regarding mechanical systems?,['Software Engineer for Mechatronics and Machines or Machine Designer.'],"Sorry, My knowledge base does not contain the answer to this question.",Software Engineer for Mechatronics and Machines.,0,0,1,1
What is a possible career path regarding management?,['Technology Manager for Robotics and AI.'],"A possible career path regarding management is ""Technology Manager for Robotics and AI.""",Technology Manager for Robotics and AI.,1,0.978770162,1,1
Who is an instructor responsible for the program with a focus on Electrical Engineering?,['Dr. Poom Konghuayrob or Dr. Kanoknuch Songsuwankit.'],Dr. Poom Konghuayrob is an instructor responsible for the program with a focus on Electrical Engineering.,Dr. Poom Konghuayrob.,0,0.851861941,1,1
Where is the location of study?,"[""King Mongkut's Institute of Technology Ladkrabang.""]","Sorry, My knowledge base does not contain the answer to this question.",King Mongkut's Institute of Technology Ladkrabang.,0,0,1,1
What national plan does the program align with?,['National Economic and Social Development Plan (2017-2021).'],"Sorry, My knowledge base does not contain the answer to this question.",National Economic and Social Development Plan (2017-2021).,0,0,1,1
What is the mission of the Institute mentioned in the document?,['Master of Innovation and the Corner Stone of Fundamental.'],"The mission of the Institute mentioned in the document is to be the ""Master of Innovation and the Corner Stone of Fundamental,"" in the aspects of education, research, academic service, and preservation of art and culture.",Master of Innovation and the Corner Stone of Fundamental.,0.2,1,1,1
What are the 21st-century skills the curriculum aims to cultivate?,"['Creativity, critical-thinking, communication, and collaboration.']","The curriculum aims to cultivate critical-thinking, communication, and collaboration skills.","Creativity, critical-thinking, communication, and collaboration.",1,0.864040288,1,1
What is the 'next S-curve' industry mentioned in the importance of the program?,"['Digital industry including IoT, Cloud, Robotics, and AI.']","The 'next S-curve' industry mentioned in the importance of the program includes the digital industry fields such as IoT, Cloud, Embedded device, Robotics, and AI.","Digital industry (IoT, Cloud, Robotics, AI).",0.666666667,0.902199604,1,1
What does 'PEO' stand for in the context of the program?,['Program Educational Objectives.'],"Sorry, My knowledge base does not contain the answer to this question.",Program Educational Objectives.,0,0,1,1
What is Program Educational Objective (a)?,['Engineering Quality: apply engineering practice to solve significant problems.'],"Program Educational Objective (a) is ""Engineering Quality: Our graduates will apply engineering practice, combined with the innovative process, to identify and solve significant problems across a broad range of applications.""",Apply engineering practice to solve significant problems.,0.333333333,1,1,1
What is Program Educational Objective (e)?,['Lifelong Learning: learn new technologies to respond to a changing environment.'],"Sorry, My knowledge base does not contain the answer to this question.",Learn new technologies to respond to a changing environment.,0,0,1,1
How many weeks are in a standard academic semester?,['Not less than 15 weeks (excluding examination weeks).'],A standard academic semester covers not less than 15 weeks (excluding the examination weeks).,Not less than 15 weeks.,1,0.875866537,1,1
When is the summer course typically held?,['June - July.'],The summer course is typically held from June to July.,June - July.,1,1,1,1
What is the minimum high-school requirement for applicants?,['Complete high-school education or equivalent.'],Applicants must complete high-school education or equivalent study record. They must also provide the latest official transcript for their highest level of education and proof of completion (an official diploma or a certificate of completion) from their high-school education or equivalent study before their enrollment.,Complete high-school education or equivalent.,0.4,0.776040036,1,1
What English proficiency tests are accepted for non-native speakers?,['TOEFL or IELTS.'],The accepted English proficiency tests for non-native speakers are the Test of English as a Foreign Language (TOEFL) and the International English Language Testing System (IELTS).,TOEFL or IELTS.,0,0.987776206,1,1
What is a common issue for new students mentioned in the doc?,['Adjusting to social settings and campus lifestyles with greater freedom.'],"A common issue for new students mentioned in the document is diverse ethnicity as backgrounds vary from student to student regarding culture, social, and academic upbringing, all of which influences social bonding and communication effectiveness, learning, and self-development.",Adjusting to social settings and campus lifestyles.,0,0.866270557,1,1
How many 1st year students were planned for the 2020 academic year?,['60 students.'],60 first-year students were planned for the 2020 academic year.,60 students.,0,0.994184593,1,1
